name,time/op (ns/op),±
StructSliceByAge/Stable-BuiltinSort-Stable-Xor-4096,8.56472E+05,1%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Xor-4096,2.34688E+06,3%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-16384,9.99609E+06,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-16384,1.00750E+07,2%
StructSliceByAge/Stable-TimSort-Interface-Random-16384,5.25602E+06,2%
StructSliceByAge/Stable-TimSort-Slice-Random-16384,6.92402E+06,2%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-16384,4.70164E+06,1%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-16384,6.43811E+06,1%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-16384,1.28371E+07,2%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-16384,3.18500E+07,2%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-16384,7.45204E+06,5%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-16384,5.51328E+06,2%
StructSliceByAge/Stable-TimSort-Interface-Xor-16384,1.00265E+06,2%
StructSliceByAge/Stable-TimSort-Slice-Xor-16384,1.51262E+06,1%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-16384,3.13162E+06,1%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-16384,4.68538E+06,0%
StructSliceByAge/Stable-BuiltinSort-Stable-Xor-16384,4.59280E+06,2%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Xor-16384,9.76453E+06,2%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-65536,4.14950E+07,1%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-65536,4.92842E+07,3%
StructSliceByAge/Stable-TimSort-Interface-Random-65536,2.66594E+07,4%
StructSliceByAge/Stable-TimSort-Slice-Random-65536,3.34738E+07,1%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-65536,2.10719E+07,2%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-65536,2.90120E+07,4%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-65536,6.69919E+07,3%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-65536,1.69014E+08,2%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-65536,2.91734E+07,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-65536,2.49840E+07,3%
StructSliceByAge/Stable-TimSort-Interface-Xor-65536,5.17795E+06,2%
StructSliceByAge/Stable-TimSort-Slice-Xor-65536,7.08230E+06,2%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-65536,1.44887E+07,3%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-65536,1.92778E+07,2%
StructSliceByAge/Stable-BuiltinSort-Stable-Xor-65536,1.70543E+07,3%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Xor-65536,3.94009E+07,4%
StructSliceByName/Unstable-Dps-TypeAssertion-Random-256,1.05163E+05,2%
StructSliceByName/Stable-TimSort-TypeAssertion-Random-256,1.07541E+05,1%
StructSliceByName/Stable-TimSort-Interface-Random-256,5.84646E+04,2%
StructSliceByName/Stable-TimSort-Slice-Random-256,7.44548E+04,3%
StructSliceByName/Unstable-BuiltinSort-Sort-Random-256,5.10498E+04,3%
StructSliceByName/Unstable-BuiltinSort-Slice-Random-256,7.33880E+04,2%
StructSliceByName/Stable-BuiltinSort-Stable-Random-256,9.60346E+04,10%
StructSliceByName/Stable-BuiltinSort-SliceStable-Random-256,1.95358E+05,3%
StructSliceByName/Unstable-Dps-TypeAssertion-Xor-256,9.88474E+04,3%
StructSliceByName/Stable-TimSort-TypeAssertion-Xor-256,7.22804E+04,2%
StructSliceByName/Stable-TimSort-Interface-Xor-256,2.69240E+04,1%
StructSliceByName/Stable-TimSort-Slice-Xor-256,3.59794E+04,1%
